instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_actual,atemp_actual,hum_actual,windspeed_actual
36,2011-01-02,Musim Semi,0,1,12,0,0,0,Berkabut,0.36,0.3333,0.66,0.2985,20,73,93,14.76,16.665,66.0,19.999499999999998
37,2011-01-02,Musim Semi,0,1,13,0,0,0,Berkabut,0.36,0.3485,0.66,0.1343,11,64,75,14.76,17.424999999999997,66.0,8.9981
38,2011-01-02,Musim Semi,0,1,14,0,0,0,Hujan/Salju Ringan,0.36,0.3485,0.76,0.194,4,55,59,14.76,17.424999999999997,76.0,12.998000000000001
39,2011-01-02,Musim Semi,0,1,15,0,0,0,Hujan/Salju Ringan,0.34,0.3333,0.81,0.1642,19,55,74,13.940000000000001,16.665,81.0,11.0014
40,2011-01-02,Musim Semi,0,1,16,0,0,0,Hujan/Salju Ringan,0.34,0.3333,0.71,0.1642,9,67,76,13.940000000000001,16.665,71.0,11.0014
41,2011-01-02,Musim Semi,0,1,17,0,0,0,Cerah,0.34,0.3333,0.57,0.194,7,58,65,13.940000000000001,16.665,56.99999999999999,12.998000000000001
42,2011-01-02,Musim Semi,0,1,18,0,0,0,Berkabut,0.36,0.3333,0.46,0.3284,10,43,53,14.76,16.665,46.0,22.0028
43,2011-01-02,Musim Semi,0,1,19,0,0,0,Cerah,0.32,0.2879,0.42,0.4478,1,29,30,13.120000000000001,14.395,42.0,30.002599999999997
44,2011-01-02,Musim Semi,0,1,20,0,0,0,Cerah,0.3,0.2727,0.39,0.3582,5,17,22,12.299999999999999,13.635,39.0,23.9994
45,2011-01-02,Musim Semi,0,1,21,0,0,0,Cerah,0.26,0.2273,0.44,0.3284,11,20,31,10.66,11.365,44.0,22.0028
46,2011-01-02,Musim Semi,0,1,22,0,0,0,Cerah,0.24,0.2121,0.44,0.2985,0,9,9,9.84,10.605,44.0,19.999499999999998
47,2011-01-02,Musim Semi,0,1,23,0,0,0,Cerah,0.22,0.2273,0.47,0.1642,0,8,8,9.02,11.365,47.0,11.0014
48,2011-01-03,Musim Semi,0,1,0,0,1,1,Cerah,0.22,0.197,0.44,0.3582,0,5,5,9.02,9.85,44.0,23.9994
49,2011-01-03,Musim Semi,0,1,1,0,1,1,Cerah,0.2,0.1667,0.44,0.4179,0,2,2,8.200000000000001,8.334999999999999,44.0,27.999299999999998
50,2011-01-03,Musim Semi,0,1,4,0,1,1,Cerah,0.16,0.1364,0.47,0.3881,0,1,1,6.5600000000000005,6.819999999999999,47.0,26.0027
51,2011-01-03,Musim Semi,0,1,5,0,1,1,Cerah,0.16,0.1364,0.47,0.2836,0,3,3,6.5600000000000005,6.819999999999999,47.0,19.0012
52,2011-01-03,Musim Semi,0,1,6,0,1,1,Cerah,0.14,0.1061,0.5,0.3881,0,30,30,5.74,5.305,50.0,26.0027
53,2011-01-03,Musim Semi,0,1,7,0,1,1,Cerah,0.14,0.1364,0.5,0.194,1,63,64,5.74,6.819999999999999,50.0,12.998000000000001
54,2011-01-03,Musim Semi,0,1,8,0,1,1,Cerah,0.14,0.1212,0.5,0.2836,1,153,154,5.74,6.0600000000000005,50.0,19.0012
55,2011-01-03,Musim Semi,0,1,9,0,1,1,Cerah,0.16,0.1364,0.43,0.3881,7,81,88,6.5600000000000005,6.819999999999999,43.0,26.0027
56,2011-01-03,Musim Semi,0,1,10,0,1,1,Cerah,0.18,0.1667,0.43,0.2537,11,33,44,7.38,8.334999999999999,43.0,16.997899999999998
57,2011-01-03,Musim Semi,0,1,11,0,1,1,Cerah,0.2,0.1818,0.4,0.3284,10,41,51,8.200000000000001,9.09,40.0,22.0028
58,2011-01-03,Musim Semi,0,1,12,0,1,1,Cerah,0.22,0.2121,0.35,0.2985,13,48,61,9.02,10.605,35.0,19.999499999999998
59,2011-01-03,Musim Semi,0,1,13,0,1,1,Cerah,0.24,0.2121,0.35,0.2836,8,53,61,9.84,10.605,35.0,19.0012
60,2011-01-03,Musim Semi,0,1,14,0,1,1,Cerah,0.26,0.2424,0.3,0.2836,11,66,77,10.66,12.120000000000001,30.0,19.0012
61,2011-01-03,Musim Semi,0,1,15,0,1,1,Cerah,0.26,0.2424,0.3,0.2537,14,58,72,10.66,12.120000000000001,30.0,16.997899999999998
62,2011-01-03,Musim Semi,0,1,16,0,1,1,Cerah,0.26,0.2424,0.3,0.2537,9,67,76,10.66,12.120000000000001,30.0,16.997899999999998
63,2011-01-03,Musim Semi,0,1,17,0,1,1,Cerah,0.24,0.2273,0.3,0.2239,11,146,157,9.84,11.365,30.0,15.001299999999999
64,2011-01-03,Musim Semi,0,1,18,0,1,1,Cerah,0.24,0.2576,0.32,0.1045,9,148,157,9.84,12.879999999999999,32.0,7.0015
65,2011-01-03,Musim Semi,0,1,19,0,1,1,Cerah,0.2,0.2576,0.47,0.0,8,102,110,8.200000000000001,12.879999999999999,47.0,0.0
66,2011-01-03,Musim Semi,0,1,20,0,1,1,Cerah,0.2,0.2273,0.47,0.1045,3,49,52,8.200000000000001,11.365,47.0,7.0015
67,2011-01-03,Musim Semi,0,1,21,0,1,1,Cerah,0.18,0.197,0.64,0.1343,3,49,52,7.38,9.85,64.0,8.9981
68,2011-01-03,Musim Semi,0,1,22,0,1,1,Cerah,0.14,0.1515,0.69,0.1343,0,20,20,5.74,7.575,69.0,8.9981
69,2011-01-03,Musim Semi,0,1,23,0,1,1,Cerah,0.18,0.2121,0.55,0.1045,1,11,12,7.38,10.605,55.00000000000001,7.0015
70,2011-01-04,Musim Semi,0,1,0,0,2,1,Cerah,0.16,0.1818,0.55,0.1045,0,5,5,6.5600000000000005,9.09,55.00000000000001,7.0015
71,2011-01-04,Musim Semi,0,1,1,0,2,1,Cerah,0.16,0.1818,0.59,0.1045,0,2,2,6.5600000000000005,9.09,59.0,7.0015
72,2011-01-04,Musim Semi,0,1,2,0,2,1,Cerah,0.14,0.1515,0.63,0.1343,0,1,1,5.74,7.575,63.0,8.9981
73,2011-01-04,Musim Semi,0,1,4,0,2,1,Cerah,0.14,0.1818,0.63,0.0896,0,2,2,5.74,9.09,63.0,6.0032
74,2011-01-04,Musim Semi,0,1,5,0,2,1,Cerah,0.12,0.1515,0.68,0.1045,0,4,4,4.92,7.575,68.0,7.0015
75,2011-01-04,Musim Semi,0,1,6,0,2,1,Cerah,0.12,0.1515,0.74,0.1045,0,36,36,4.92,7.575,74.0,7.0015
76,2011-01-04,Musim Semi,0,1,7,0,2,1,Cerah,0.12,0.1515,0.74,0.1343,2,92,94,4.92,7.575,74.0,8.9981
77,2011-01-04,Musim Semi,0,1,8,0,2,1,Cerah,0.14,0.1515,0.69,0.1642,2,177,179,5.74,7.575,69.0,11.0014
78,2011-01-04,Musim Semi,0,1,9,0,2,1,Cerah,0.16,0.1515,0.64,0.2239,2,98,100,6.5600000000000005,7.575,64.0,15.001299999999999
79,2011-01-04,Musim Semi,0,1,10,0,2,1,Berkabut,0.16,0.1364,0.69,0.3284,5,37,42,6.5600000000000005,6.819999999999999,69.0,22.0028
80,2011-01-04,Musim Semi,0,1,11,0,2,1,Cerah,0.22,0.2121,0.51,0.2985,7,50,57,9.02,10.605,51.0,19.999499999999998
81,2011-01-04,Musim Semi,0,1,12,0,2,1,Cerah,0.22,0.2273,0.51,0.1642,12,66,78,9.02,11.365,51.0,11.0014
82,2011-01-04,Musim Semi,0,1,13,0,2,1,Cerah,0.24,0.2273,0.56,0.194,18,79,97,9.84,11.365,56.00000000000001,12.998000000000001
83,2011-01-04,Musim Semi,0,1,14,0,2,1,Cerah,0.26,0.2576,0.52,0.2239,9,54,63,10.66,12.879999999999999,52.0,15.001299999999999
84,2011-01-04,Musim Semi,0,1,15,0,2,1,Cerah,0.28,0.2727,0.52,0.2537,17,48,65,11.48,13.635,52.0,16.997899999999998
85,2011-01-04,Musim Semi,0,1,16,0,2,1,Cerah,0.3,0.2879,0.49,0.2537,15,68,83,12.299999999999999,14.395,49.0,16.997899999999998
86,2011-01-04,Musim Semi,0,1,17,0,2,1,Cerah,0.28,0.2727,0.48,0.2239,10,202,212,11.48,13.635,48.0,15.001299999999999
87,2011-01-04,Musim Semi,0,1,18,0,2,1,Cerah,0.26,0.2576,0.48,0.194,3,179,182,10.66,12.879999999999999,48.0,12.998000000000001
88,2011-01-04,Musim Semi,0,1,19,0,2,1,Cerah,0.24,0.2576,0.48,0.1045,2,110,112,9.84,12.879999999999999,48.0,7.0015
89,2011-01-04,Musim Semi,0,1,20,0,2,1,Cerah,0.24,0.2576,0.48,0.1045,1,53,54,9.84,12.879999999999999,48.0,7.0015
90,2011-01-04,Musim Semi,0,1,21,0,2,1,Cerah,0.22,0.2727,0.64,0.0,0,48,48,9.02,13.635,64.0,0.0
91,2011-01-04,Musim Semi,0,1,22,0,2,1,Cerah,0.22,0.2576,0.64,0.0896,1,34,35,9.02,12.879999999999999,64.0,6.0032
92,2011-01-04,Musim Semi,0,1,23,0,2,1,Cerah,0.2,0.2273,0.69,0.0896,2,9,11,8.200000000000001,11.365,69.0,6.0032
93,2011-01-05,Musim Semi,0,1,0,0,3,1,Cerah,0.2,0.2576,0.64,0.0,0,6,6,8.200000000000001,12.879999999999999,64.0,0.0
94,2011-01-05,Musim Semi,0,1,1,0,3,1,Cerah,0.16,0.197,0.74,0.0896,0,6,6,6.5600000000000005,9.85,74.0,6.0032
95,2011-01-05,Musim Semi,0,1,2,0,3,1,Cerah,0.16,0.197,0.74,0.0896,0,2,2,6.5600000000000005,9.85,74.0,6.0032
96,2011-01-05,Musim Semi,0,1,4,0,3,1,Cerah,0.24,0.2273,0.48,0.2239,0,2,2,9.84,11.365,48.0,15.001299999999999
97,2011-01-05,Musim Semi,0,1,5,0,3,1,Cerah,0.22,0.2273,0.47,0.1642,0,3,3,9.02,11.365,47.0,11.0014
98,2011-01-05,Musim Semi,0,1,6,0,3,1,Cerah,0.2,0.197,0.47,0.2239,0,33,33,8.200000000000001,9.85,47.0,15.001299999999999
99,2011-01-05,Musim Semi,0,1,7,0,3,1,Cerah,0.18,0.1818,0.43,0.194,1,87,88,7.38,9.09,43.0,12.998000000000001
100,2011-01-05,Musim Semi,0,1,8,0,3,1,Cerah,0.2,0.1818,0.4,0.2985,3,192,195,8.200000000000001,9.09,40.0,19.999499999999998
101,2011-01-05,Musim Semi,0,1,9,0,3,1,Cerah,0.22,0.197,0.37,0.3284,6,109,115,9.02,9.85,37.0,22.0028
102,2011-01-05,Musim Semi,0,1,10,0,3,1,Cerah,0.22,0.197,0.37,0.3284,4,53,57,9.02,9.85,37.0,22.0028
103,2011-01-05,Musim Semi,0,1,11,0,3,1,Cerah,0.26,0.2273,0.33,0.3284,12,34,46,10.66,11.365,33.0,22.0028
104,2011-01-05,Musim Semi,0,1,12,0,3,1,Cerah,0.26,0.2273,0.33,0.3284,5,74,79,10.66,11.365,33.0,22.0028
105,2011-01-05,Musim Semi,0,1,13,0,3,1,Cerah,0.28,0.2576,0.3,0.2985,6,65,71,11.48,12.879999999999999,30.0,19.999499999999998
106,2011-01-05,Musim Semi,0,1,14,0,3,1,Cerah,0.3,0.2879,0.28,0.194,10,52,62,12.299999999999999,14.395,28.000000000000004,12.998000000000001
107,2011-01-05,Musim Semi,0,1,15,0,3,1,Cerah,0.3,0.2879,0.28,0.194,7,55,62,12.299999999999999,14.395,28.000000000000004,12.998000000000001
108,2011-01-05,Musim Semi,0,1,16,0,3,1,Cerah,0.3,0.3182,0.28,0.0896,4,85,89,12.299999999999999,15.909999999999998,28.000000000000004,6.0032
109,2011-01-05,Musim Semi,0,1,17,0,3,1,Cerah,0.24,0.2273,0.38,0.194,4,186,190,9.84,11.365,38.0,12.998000000000001
110,2011-01-05,Musim Semi,0,1,18,0,3,1,Cerah,0.24,0.2424,0.38,0.1343,3,166,169,9.84,12.120000000000001,38.0,8.9981
111,2011-01-05,Musim Semi,0,1,19,0,3,1,Cerah,0.24,0.2576,0.38,0.1045,5,127,132,9.84,12.879999999999999,38.0,7.0015
112,2011-01-05,Musim Semi,0,1,20,0,3,1,Cerah,0.22,0.2273,0.47,0.1642,7,82,89,9.02,11.365,47.0,11.0014
113,2011-01-05,Musim Semi,0,1,21,0,3,1,Cerah,0.2,0.197,0.51,0.194,3,40,43,8.200000000000001,9.85,51.0,12.998000000000001
114,2011-01-05,Musim Semi,0,1,22,0,3,1,Cerah,0.18,0.197,0.55,0.1343,1,41,42,7.38,9.85,55.00000000000001,8.9981
115,2011-01-05,Musim Semi,0,1,23,0,3,1,Cerah,0.2,0.2576,0.47,0.0,1,18,19,8.200000000000001,12.879999999999999,47.0,0.0
116,2011-01-06,Musim Semi,0,1,0,0,4,1,Cerah,0.18,0.2424,0.55,0.0,0,11,11,7.38,12.120000000000001,55.00000000000001,0.0
117,2011-01-06,Musim Semi,0,1,1,0,4,1,Cerah,0.16,0.2273,0.64,0.0,0,4,4,6.5600000000000005,11.365,64.0,0.0
118,2011-01-06,Musim Semi,0,1,2,0,4,1,Cerah,0.16,0.2273,0.64,0.0,0,2,2,6.5600000000000005,11.365,64.0,0.0
119,2011-01-06,Musim Semi,0,1,4,0,4,1,Berkabut,0.16,0.197,0.64,0.0896,0,1,1,6.5600000000000005,9.85,64.0,6.0032
120,2011-01-06,Musim Semi,0,1,5,0,4,1,Berkabut,0.14,0.1818,0.69,0.0896,0,4,4,5.74,9.09,69.0,6.0032
121,2011-01-06,Musim Semi,0,1,6,0,4,1,Berkabut,0.14,0.1667,0.63,0.1045,0,36,36,5.74,8.334999999999999,63.0,7.0015
122,2011-01-06,Musim Semi,0,1,7,0,4,1,Berkabut,0.16,0.2273,0.59,0.0,0,95,95,6.5600000000000005,11.365,59.0,0.0
123,2011-01-06,Musim Semi,0,1,8,0,4,1,Cerah,0.16,0.2273,0.59,0.0,3,216,219,6.5600000000000005,11.365,59.0,0.0
124,2011-01-06,Musim Semi,0,1,9,0,4,1,Berkabut,0.18,0.2424,0.51,0.0,6,116,122,7.38,12.120000000000001,51.0,0.0
125,2011-01-06,Musim Semi,0,1,10,0,4,1,Cerah,0.2,0.2576,0.47,0.0,3,42,45,8.200000000000001,12.879999999999999,47.0,0.0
126,2011-01-06,Musim Semi,0,1,11,0,4,1,Cerah,0.22,0.2576,0.44,0.0896,2,57,59,9.02,12.879999999999999,44.0,6.0032
127,2011-01-06,Musim Semi,0,1,12,0,4,1,Cerah,0.26,0.2879,0.35,0.0,6,78,84,10.66,14.395,35.0,0.0
128,2011-01-06,Musim Semi,0,1,13,0,4,1,Cerah,0.26,0.2727,0.35,0.1045,12,55,67,10.66,13.635,35.0,7.0015
129,2011-01-06,Musim Semi,0,1,14,0,4,1,Cerah,0.28,0.2727,0.36,0.1642,11,59,70,11.48,13.635,36.0,11.0014
130,2011-01-06,Musim Semi,0,1,15,0,4,1,Cerah,0.28,0.2727,0.36,0.0,8,54,62,11.48,13.635,36.0,0.0
131,2011-01-06,Musim Semi,0,1,16,0,4,1,Cerah,0.26,0.2576,0.38,0.1642,12,74,86,10.66,12.879999999999999,38.0,11.0014
132,2011-01-06,Musim Semi,0,1,17,0,4,1,Cerah,0.22,0.2273,0.51,0.1642,9,163,172,9.02,11.365,51.0,11.0014
133,2011-01-06,Musim Semi,0,1,18,0,4,1,Cerah,0.22,0.2273,0.51,0.1343,5,158,163,9.02,11.365,51.0,8.9981
134,2011-01-06,Musim Semi,0,1,19,0,4,1,Cerah,0.22,0.2576,0.55,0.0896,3,109,112,9.02,12.879999999999999,55.00000000000001,6.0032
135,2011-01-06,Musim Semi,0,1,20,0,4,1,Cerah,0.2,0.2121,0.51,0.1642,3,66,69,8.200000000000001,10.605,51.0,11.0014
136,2011-01-06,Musim Semi,0,1,21,0,4,1,Berkabut,0.22,0.2121,0.55,0.2239,0,48,48,9.02,10.605,55.00000000000001,15.001299999999999
137,2011-01-06,Musim Semi,0,1,22,0,4,1,Berkabut,0.22,0.2121,0.51,0.2836,1,51,52,9.02,10.605,51.0,19.0012
138,2011-01-06,Musim Semi,0,1,23,0,4,1,Berkabut,0.2,0.197,0.59,0.194,4,19,23,8.200000000000001,9.85,59.0,12.998000000000001
139,2011-01-07,Musim Semi,0,1,0,0,5,1,Berkabut,0.2,0.197,0.64,0.194,4,13,17,8.200000000000001,9.85,64.0,12.998000000000001
140,2011-01-07,Musim Semi,0,1,1,0,5,1,Berkabut,0.2,0.197,0.69,0.2239,2,5,7,8.200000000000001,9.85,69.0,15.001299999999999
141,2011-01-07,Musim Semi,0,1,2,0,5,1,Berkabut,0.2,0.197,0.69,0.2239,0,1,1,8.200000000000001,9.85,69.0,15.001299999999999
142,2011-01-07,Musim Semi,0,1,4,0,5,1,Berkabut,0.2,0.2121,0.69,0.1343,0,1,1,8.200000000000001,10.605,69.0,8.9981
143,2011-01-07,Musim Semi,0,1,5,0,5,1,Hujan/Salju Ringan,0.22,0.2727,0.55,0.0,0,5,5,9.02,13.635,55.00000000000001,0.0
144,2011-01-07,Musim Semi,0,1,6,0,5,1,Berkabut,0.2,0.2576,0.69,0.0,8,26,34,8.200000000000001,12.879999999999999,69.0,0.0
145,2011-01-07,Musim Semi,0,1,7,0,5,1,Cerah,0.2,0.2121,0.69,0.1343,8,76,84,8.200000000000001,10.605,69.0,8.9981
146,2011-01-07,Musim Semi,0,1,8,0,5,1,Cerah,0.2,0.197,0.51,0.2537,20,190,210,8.200000000000001,9.85,51.0,16.997899999999998
147,2011-01-07,Musim Semi,0,1,9,0,5,1,Cerah,0.2,0.1818,0.47,0.2985,9,125,134,8.200000000000001,9.09,47.0,19.999499999999998
148,2011-01-07,Musim Semi,0,1,10,0,5,1,Cerah,0.22,0.197,0.37,0.3284,16,47,63,9.02,9.85,37.0,22.0028
149,2011-01-07,Musim Semi,0,1,11,0,5,1,Berkabut,0.2,0.197,0.4,0.2239,19,48,67,8.200000000000001,9.85,40.0,15.001299999999999
150,2011-01-07,Musim Semi,0,1,12,0,5,1,Berkabut,0.2,0.197,0.37,0.2537,9,50,59,8.200000000000001,9.85,37.0,16.997899999999998
151,2011-01-07,Musim Semi,0,1,13,0,5,1,Berkabut,0.2,0.1818,0.37,0.2836,9,64,73,8.200000000000001,9.09,37.0,19.0012
152,2011-01-07,Musim Semi,0,1,14,0,5,1,Berkabut,0.2,0.197,0.4,0.2537,7,43,50,8.200000000000001,9.85,40.0,16.997899999999998
153,2011-01-07,Musim Semi,0,1,15,0,5,1,Berkabut,0.2,0.2121,0.37,0.1642,9,63,72,8.200000000000001,10.605,37.0,11.0014
154,2011-01-07,Musim Semi,0,1,16,0,5,1,Berkabut,0.2,0.2121,0.37,0.1642,5,82,87,8.200000000000001,10.605,37.0,11.0014
155,2011-01-07,Musim Semi,0,1,17,0,5,1,Berkabut,0.2,0.2576,0.37,0.0,9,178,187,8.200000000000001,12.879999999999999,37.0,0.0
156,2011-01-07,Musim Semi,0,1,18,0,5,1,Cerah,0.2,0.2273,0.4,0.0896,7,116,123,8.200000000000001,11.365,40.0,6.0032
157,2011-01-07,Musim Semi,0,1,19,0,5,1,Cerah,0.16,0.197,0.55,0.0896,3,92,95,6.5600000000000005,9.85,55.00000000000001,6.0032
158,2011-01-07,Musim Semi,0,1,20,0,5,1,Cerah,0.18,0.2121,0.47,0.1045,1,50,51,7.38,10.605,47.0,7.0015
159,2011-01-07,Musim Semi,0,1,21,0,5,1,Cerah,0.18,0.197,0.47,0.1343,0,39,39,7.38,9.85,47.0,8.9981
160,2011-01-07,Musim Semi,0,1,22,0,5,1,Berkabut,0.18,0.197,0.43,0.1642,2,34,36,7.38,9.85,43.0,11.0014
161,2011-01-07,Musim Semi,0,1,23,0,5,1,Berkabut,0.18,0.197,0.51,0.1642,1,14,15,7.38,9.85,51.0,11.0014
162,2011-01-08,Musim Semi,0,1,0,0,6,0,Berkabut,0.18,0.197,0.51,0.1642,1,24,25,7.38,9.85,51.0,11.0014
163,2011-01-08,Musim Semi,0,1,1,0,6,0,Berkabut,0.18,0.2121,0.55,0.0896,1,15,16,7.38,10.605,55.00000000000001,6.0032
164,2011-01-08,Musim Semi,0,1,2,0,6,0,Berkabut,0.18,0.2424,0.55,0.0,3,13,16,7.38,12.120000000000001,55.00000000000001,0.0
165,2011-01-08,Musim Semi,0,1,3,0,6,0,Hujan/Salju Ringan,0.18,0.197,0.55,0.1642,0,7,7,7.38,9.85,55.00000000000001,11.0014
166,2011-01-08,Musim Semi,0,1,4,0,6,0,Hujan/Salju Ringan,0.18,0.197,0.55,0.1642,0,1,1,7.38,9.85,55.00000000000001,11.0014
167,2011-01-08,Musim Semi,0,1,5,0,6,0,Berkabut,0.16,0.1667,0.74,0.1642,0,5,5,6.5600000000000005,8.334999999999999,74.0,11.0014
168,2011-01-08,Musim Semi,0,1,6,0,6,0,Berkabut,0.16,0.1667,0.74,0.1642,0,2,2,6.5600000000000005,8.334999999999999,74.0,11.0014
169,2011-01-08,Musim Semi,0,1,7,0,6,0,Berkabut,0.16,0.1818,0.74,0.1045,1,8,9,6.5600000000000005,9.09,74.0,7.0015
170,2011-01-08,Musim Semi,0,1,8,0,6,0,Hujan/Salju Ringan,0.16,0.1818,0.93,0.1045,0,15,15,6.5600000000000005,9.09,93.0,7.0015
171,2011-01-08,Musim Semi,0,1,9,0,6,0,Hujan/Salju Ringan,0.16,0.1818,0.93,0.1045,0,20,20,6.5600000000000005,9.09,93.0,7.0015
172,2011-01-08,Musim Semi,0,1,10,0,6,0,Berkabut,0.18,0.197,0.8,0.1642,5,56,61,7.38,9.85,80.0,11.0014
173,2011-01-08,Musim Semi,0,1,11,0,6,0,Berkabut,0.2,0.1818,0.69,0.3881,2,60,62,8.200000000000001,9.09,69.0,26.0027
174,2011-01-08,Musim Semi,0,1,12,0,6,0,Berkabut,0.2,0.1818,0.59,0.3582,8,90,98,8.200000000000001,9.09,59.0,23.9994
175,2011-01-08,Musim Semi,0,1,13,0,6,0,Cerah,0.2,0.1818,0.44,0.3284,7,95,102,8.200000000000001,9.09,44.0,22.0028
176,2011-01-08,Musim Semi,0,1,14,0,6,0,Cerah,0.2,0.1667,0.32,0.4925,12,83,95,8.200000000000001,8.334999999999999,32.0,32.9975
